what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1544535676670
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1544536641227
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1544536643859
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1544536644232
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1544536652135
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544536656249
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544536663962
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1544536664188
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1544536669369
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.editor",1544536669501
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1544536669514
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.editor",1544536678516
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544536725472
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544536726588
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544536726691
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544536757523
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1544536761096
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544536761397
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544536764559
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544536765490
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544536823841
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1544536823967
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1544536824063
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1544536824072
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1544536825940
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.opendecl",1544536826472
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1544536849424
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1544536851576
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1544536870978
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1544536875724
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1544536876555
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1544536877400
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544536877702
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544536880819
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544536886454
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544538698393
